Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,43.869998931884766,44.4900016784668,43.70000076293945,44.040000915527344,41.96910858154297,8000
2021-01-05,44.0,44.5,43.5,43.79999923706055,41.740394592285156,11400
2021-01-06,43.95000076293945,43.95000076293945,43.04999923706055,43.20000076293945,41.16862106323242,30900
2021-01-07,43.849998474121094,43.849998474121094,42.849998474121094,43.099998474121094,41.07331085205078,41800
2021-01-08,43.5,43.5,42.650001525878906,42.970001220703125,40.94942092895508,15900
2021-01-11,42.61000061035156,42.900001525878906,42.349998474121094,42.470001220703125,40.47294998168945,13700
2021-01-12,42.630001068115234,42.630001068115234,41.349998474121094,41.349998474121094,39.405601501464844,53000
2021-01-13,40.79999923706055,40.79999923706055,37.20000076293945,37.290000915527344,35.53651428222656,484600
2021-01-14,39.45000076293945,39.45000076293945,36.900001525878906,36.97999954223633,35.241092681884766,410400
2021-01-15,37.97999954223633,38.790000915527344,37.349998474121094,38.45000076293945,36.641971588134766,222600
2021-01-18,40.63999938964844,40.810001373291016,38.90999984741211,39.29999923706055,37.452003479003906,134900
2021-01-19,40.0,40.0,38.06999969482422,38.400001525878906,36.59431838989258,125700
2021-01-20,38.7400016784668,38.880001068115234,38.400001525878906,38.650001525878906,36.83255386352539,71700
2021-01-21,38.939998626708984,38.939998626708984,38.25,38.310001373291016,36.5085563659668,51500
2021-01-22,38.52000045776367,38.650001525878906,38.29999923706055,38.630001068115234,36.81351089477539,40500
2021-01-25,39.38999938964844,39.79999923706055,38.63999938964844,39.33000183105469,37.4805908203125,115900
2021-01-26,39.349998474121094,39.95000076293945,39.0,39.619998931884766,37.7569580078125,67300
2021-01-27,39.86000061035156,39.86000061035156,39.150001525878906,39.22999954223633,37.38528823852539,73300
2021-01-28,39.689998626708984,39.689998626708984,39.349998474121094,39.54999923706055,37.690250396728516,46600
2021-01-29,39.599998474121094,39.630001068115234,39.20000076293945,39.52000045776367,37.661659240722656,33000
2021-02-01,39.849998474121094,39.97999954223633,39.41999816894531,39.689998626708984,37.82366180419922,48900
2021-02-02,40.0,40.22999954223633,39.650001525878906,39.90999984741211,38.03331756591797,73300
2021-02-03,40.09000015258789,40.779998779296875,40.04999923706055,40.40999984741211,38.50979995727539,119700
2021-02-04,40.790000915527344,41.369998931884766,40.40999984741211,41.119998931884766,39.18642044067383,90600
2021-02-05,41.34000015258789,41.34000015258789,39.90999984741211,39.959999084472656,38.08096694946289,181300
2021-02-08,40.0,40.349998474121094,39.65999984741211,39.86000061035156,37.98567199707031,83800
2021-02-09,39.75,39.95000076293945,38.90999984741211,39.18000030517578,37.337642669677734,83800
2021-02-10,39.20000076293945,39.630001068115234,39.150001525878906,39.2400016784668,37.39482879638672,49600
2021-02-11,39.279998779296875,39.52000045776367,38.93000030517578,39.36000061035156,37.509185791015625,57600
2021-02-12,39.459999084472656,40.029998779296875,39.15999984741211,39.88999938964844,38.014259338378906,76000
2021-02-16,39.900001525878906,40.0,39.310001373291016,39.5,37.642601013183594,58600
2021-02-17,39.4900016784668,39.599998474121094,39.0,39.0,37.16611099243164,50300
2021-02-18,38.900001525878906,39.54999923706055,38.65999984741211,38.84000015258789,37.013633728027344,47300
2021-02-19,38.84000015258789,38.84000015258789,38.09000015258789,38.29999923706055,36.4990234375,76900
2021-02-22,38.099998474121094,38.2599983215332,37.790000915527344,38.119998931884766,36.327491760253906,25200
2021-02-23,38.18000030517578,38.29999923706055,37.790000915527344,37.900001525878906,36.117835998535156,23300
2021-02-24,38.0,38.75,37.599998474121094,38.09000015258789,36.298892974853516,29600
2021-02-25,38.08000183105469,38.63999938964844,38.04999923706055,38.59000015258789,36.77538299560547,35600
2021-02-26,38.75,38.75,38.349998474121094,38.630001068115234,36.81351089477539,83200
2021-03-01,38.599998474121094,39.029998779296875,38.599998474121094,38.79999923706055,36.97550964355469,26300
2021-03-02,39.09000015258789,39.56999969482422,38.97999954223633,39.54999923706055,37.690250396728516,50800
2021-03-03,39.560001373291016,39.560001373291016,39.06999969482422,39.220001220703125,37.37576675415039,16100
