Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,257.3500061035156,267.7699890136719,252.8000030517578,254.5,253.8367156982422,68541911
2021-01-05,255.6999969482422,272.5,255.5500030517578,272.5,271.78973388671875,51679499
2021-01-06,280.0,291.0,275.70001220703125,289.79998779296875,289.044677734375,86834204
2021-01-07,293.25,297.3500061035156,249.75,295.0,294.2311096191406,128597618
2021-01-08,296.75,299.29998779296875,293.0899963378906,298.70001220703125,297.9214782714844,78224628
2021-01-11,297.20001220703125,299.6499938964844,292.5,298.79998779296875,298.02130126953125,37867052
2021-01-12,301.95001220703125,309.1000061035156,299.25,305.0,304.2051086425781,54675065
2021-01-13,307.95001220703125,311.95001220703125,302.5,303.8999938964844,303.1080017089844,51923962
2021-01-14,303.25,310.79998779296875,302.6499938964844,309.25,308.4440612792969,48245526
2021-01-15,309.8999938964844,311.1499938964844,296.6000061035156,302.45001220703125,301.6617736816406,44676583
2021-01-18,298.20001220703125,301.0,295.5,300.3500061035156,299.5671691894531,47700699
2021-01-19,302.1499938964844,304.29998779296875,299.29998779296875,301.25,300.4649353027344,29146696
2021-01-20,300.6499938964844,303.3500061035156,299.1700134277344,302.8500061035156,302.0606384277344,37313657
2021-01-21,302.54998779296875,303.1499938964844,292.54998779296875,293.3500061035156,292.5854797363281,42797551
2021-01-22,288.79998779296875,291.1499938964844,283.6000061035156,290.0,289.2442321777344,57008357
2021-01-25,291.0,291.29998779296875,278.29998779296875,280.6499938964844,279.9185485839844,66487011
2021-01-26,279.8500061035156,288.25,278.7950134277344,282.3500061035156,281.61419677734375,43495648
2021-01-27,279.20001220703125,282.70001220703125,273.95001220703125,282.3500061035156,281.61419677734375,56403948
2021-01-28,275.54998779296875,282.3999938964844,271.79998779296875,276.5,275.7793884277344,50159927
2021-01-29,272.8500061035156,278.3999938964844,271.5,271.5,270.7923889160156,37482798
2021-02-01,274.25,276.29998779296875,266.45001220703125,267.1000061035156,266.4039306640625,63605096
2021-02-02,260.54998779296875,263.8999938964844,250.35000610351562,255.0,254.33543395996094,127749256
2021-02-03,255.0,258.8999938964844,251.0500030517578,258.29998779296875,257.6268310546875,72784840
2021-02-04,259.1499938964844,261.79998779296875,253.64999389648438,254.9499969482422,254.2855224609375,69690819
2021-02-05,255.5500030517578,258.6830139160156,250.5,252.0500030517578,251.39312744140625,91285362
2021-02-08,253.3000030517578,263.8999938964844,252.10000610351562,261.95001220703125,261.26727294921875,77358530
2021-02-09,265.5,268.1000061035156,257.28900146484375,259.70001220703125,259.0232238769531,65410333
2021-02-10,262.54998779296875,263.45001220703125,254.0,259.1000061035156,258.42474365234375,71473243
