Date,3382.T,ATD.TO,FEMSAUBD.MX,BP.L,CA.PA,ACWI
2021-01-05,-0.008779208728140975,-0.0054496692950487535,-0.006535468592791083,0.07072700988209446,0.03588680669355915,0.010308350475608075
2021-01-06,0.028508111125661317,-0.013698507447682085,-0.004967495785643816,0.06348624434202166,0.02198537753435792,0.005595028825796877
2021-01-07,0.0484394864927169,-0.0023150254454505914,0.0014841739864055459,0.017943355255079618,0.005215068002913492,0.010473595128083657
2021-01-08,0.024640293608113373,-0.00301621919023487,0.011990430576314326,0.012542724754977641,-0.01167316322950862,0.008853307091188034
2021-01-11,,-0.011635688778186104,0.0005327709925497803,0.00033445004478971363,0.005577461735315037,-0.008775613886536804
2021-01-12,,-0.026371708791006254,-0.003859032347960256,0.020749757310384753,0.0091353997756769,0.0035628855641405277
2021-01-13,0.0,-0.0981863986871565,-0.004608173944363414,-0.003606772059890906,0.13417396475692156,0.0006455708508408264
2021-01-14,0.011000284372773672,-0.008312862480092664,0.01623731136724227,0.01760489073965199,-0.025085557568496397,0.001505031845822069
2021-01-15,0.008603128489444778,0.039751169161585276,-0.011818213204130457,-0.021988808654830216,-0.02865497161993502,-0.010520642614834319
2021-01-18,-0.012292974919234312,0.022106559019725802,0.009153363682160354,-0.006943249434260723,-0.06923546427344451,
2021-01-19,-0.01600206918289726,-0.022900707377066176,-0.028071961001660206,0.0029964691092905227,-0.029754140991747446,
2021-01-20,0.014455389184611533,0.006510174519211098,-0.010013745869544621,0.005311186664058498,-0.005666621257722437,0.012469259919411169
2021-01-21,0.0015267409298727053,-0.008796599138557792,0.0054359493540023784,-0.03136849073230086,0.010727340802026308,0.00021229836187197648
2021-01-22,0.0035568956160425547,0.008352645279489535,0.005338200263911075,-0.01142014612238107,-0.023880463325393397,-0.004670633443057959
2021-01-25,0.01392433275698668,0.01812052092961558,0.023076825698275183,-0.03224135000458428,0.007475295283925876,0.0033061192515722038
2021-01-26,0.008489175152009532,0.007373608835384404,-0.008117623457310041,0.006057430516057449,-0.010792626615734768,-0.0030824126668924645
2021-01-27,0.008665474384942806,-0.009843541351128082,-0.003957892734610002,0.0,-0.016365485753858877,-0.024629521789498177
2021-01-28,0.0004907580760595831,0.008156766149711281,-0.011920797685221363,-0.02071883494590121,-0.006239050003352675,0.008417029613552618
2021-01-29,-0.02821373462639798,-0.0007581777378733445,-0.04778137743076982,-0.018083401757713502,-0.02406703938605681,-0.019620436353564363
2021-02-01,0.0042917386175673755,0.004301727436796465,,-0.01620587547508967,0.00786285709591783,0.017027823007884635
2021-02-02,0.002011023073264173,0.005542675281546172,,-0.0453017775881277,0.0120567245828882,0.012719984324798261
2021-02-03,0.018565091590215355,0.012528528751414747,-0.004690832633090114,0.01294122841898715,-0.01016135644474081,0.001717707027417248
2021-02-04,-0.0012314786756402185,0.01756978150921884,0.015443847151910495,-0.012969391423628407,0.003185950056018738,0.006858778513534114
2021-02-05,0.015289628148830836,-0.02821021123805867,-0.0010711462645458525,-0.011374775073077381,0.021877024600300832,0.005747852422736566
2021-02-08,0.03181950898141572,-0.0025027304745400825,-0.009864125535160362,0.0392780755771458,-0.007596532986953841,0.007513942660464457
2021-02-09,-0.0007064180663434172,-0.0170594392507597,0.01812018371604629,-0.008589558856647361,0.01322210973463056,0.0019959189297360513
2021-02-10,-0.004004612125331097,0.001531185634419785,0.001843447204494586,-0.00231052782323915,0.0010301727146628803,0.00020954037319143026
2021-02-11,,0.0030583014471232683,-0.027319671662225264,-0.0050172058299067235,-0.005831938939212411,0.0049263096148406404
2021-02-12,,0.01346563600811046,0.010477971013153065,0.015515738156237191,-0.0031056136660219114,0.0047974910001984394
2021-02-15,0.020284966232410717,,-0.01224164120288529,0.0653173455872238,0.019383953181171032,
2021-02-16,0.026272102863848623,,0.04512659802073027,-0.0025099893825440978,-0.005093552516107658,
2021-02-17,-0.017758415696538465,-0.012658367671516069,-0.006277847271201065,0.008626971022400287,0.004778239265773809,-0.001968450262828214
