Date,3382.T,ATD.TO,FEMSAUBD.MX,BP.L,CA.PA,ACWI
2021-01-04,1087.135498046875,41.9691162109375,124.26791381835938,253.83668518066406,11.543781280517578,82.64822387695312
2021-01-05,1077.59130859375,41.74039840698242,123.45576477050781,271.789794921875,11.958050727844238,83.50019073486328
2021-01-06,1108.3114013671875,41.168617248535156,122.84249877929688,289.0447082519531,12.220952987670898,83.96737670898438
2021-01-07,1161.9974365234375,41.07331085205078,123.02481842041016,294.23114013671875,12.284686088562012,84.84681701660156
2021-01-08,1190.62939453125,40.949424743652344,124.49993896484375,297.9216003417969,12.141284942626953,85.59799194335938
2021-01-11,,40.47294998168945,124.56626892089844,298.021240234375,12.209002494812012,84.84681701660156
2021-01-12,1165.87451171875,39.405609130859375,124.08556365966797,304.2051086425781,12.320536613464355,85.14911651611328
2021-01-13,1165.87451171875,35.53651428222656,123.51375579833984,303.10791015625,13.973631858825684,85.20408630371094
2021-01-14,1178.699462890625,35.24110412597656,125.519287109375,308.444091796875,13.623095512390137,85.33232116699219
2021-01-15,1188.8399658203125,36.6419792175293,124.03587341308594,301.6617736816406,13.232726097106934,84.4345703125
2021-01-18,1174.2255859375,37.45200729370117,125.17121887207031,299.5672607421875,12.31655216217041,
2021-01-19,1155.435546875,36.594329833984375,121.65741729736328,300.46490478515625,11.95008373260498,85.22239685058594
2021-01-20,1172.1378173828125,36.83256530761719,120.43917083740234,302.06072998046875,11.882367134094238,86.2850570678711
2021-01-21,1173.9273681640625,36.50856399536133,121.0938720703125,292.5855407714844,12.009833335876465,86.30337524414062
2021-01-22,1178.1029052734375,36.813507080078125,121.74029541015625,289.2441711425781,11.72303295135498,85.90028381347656
2021-01-25,1194.5072021484375,37.480587005615234,124.54967498779297,279.9185485839844,11.81066608428955,86.18428039550781
2021-01-26,1204.6475830078125,37.756954193115234,123.53862762451172,281.6141357421875,11.683197975158691,85.91862487792969
2021-01-27,1215.08642578125,37.385292053222656,123.04967498779297,281.6141357421875,11.491996765136719,83.802490234375
2021-01-28,1215.6827392578125,37.69023513793945,121.58282470703125,275.7794189453125,11.420297622680664,84.50785827636719
2021-01-29,1181.3837890625,37.661659240722656,115.77342987060547,270.7923889160156,11.145444869995117,82.84977722167969
2021-02-01,1186.4539794921875,37.82366943359375,,266.4039611816406,11.23307991027832,84.26052856445312
2021-02-02,1188.8399658203125,38.0333137512207,114.83697509765625,254.33538818359375,11.368514060974121,85.33232116699219
2021-02-03,1210.910888671875,38.50981521606445,114.29829406738281,257.6268005371094,11.252994537353516,85.47889709472656
2021-02-04,1209.419677734375,39.186424255371094,116.0634994506836,254.28553771972656,11.288846015930176,86.06517791748047
2021-02-05,1227.9112548828125,38.08096694946289,115.93917846679688,251.39309692382812,11.535812377929688,86.55986785888672
2021-02-08,1266.9827880859375,37.985660552978516,114.79553985595703,261.267333984375,11.448180198669434,87.21027374267578
2021-02-09,1266.0877685546875,37.337646484375,116.87565612792969,259.0231628417969,11.599549293518066,87.38433837890625
2021-02-10,1261.017578125,37.39481735229492,117.09111022949219,258.4246826171875,11.611498832702637,87.40264892578125
